"slug","title","excerpt","description","prompt_body","usage","example","difficulty","categories","models","related_tool_slugs"
"documents-generative-ai-usage-guideline","社内向け生成AI利用ガイドラインの草案を作成するプロンプト","会社の状況に合わせて、生成AIの利用範囲・入力禁止情報・確認ルール・相談窓口をまとめた規程案を作ります。","社員がChatGPTなどの生成AIを業務で使うときのルールを定めた、社内ガイドラインの草案を作るプロンプトです。使ってよい業務と注意が必要な業務、入力してはいけない情報、出力の確認ルール、著作権や情報漏えいへの配慮、相談窓口などを、社員が読んで分かる言葉でまとめます。

最終版は、法務・情報システム・経営層の確認を経て決定してください。","# ROLE
あなたは企業の情報セキュリティとAI活用の両方に詳しいコンサルタントです。

# INPUT
- 会社の概要：{業種・従業員数・扱う情報（顧客の個人情報、取引先の機密など）}
- 利用を認めるAIツール：{例：会社契約の法人向けプラン、無料版は禁止、など}
- 想定する使い方：{例：文章の下書き、要約、プログラミング支援}
- 特に心配していること：{例：顧客情報の入力、AIの誤りをそのまま顧客に出すこと}
- 既存の規程：{情報セキュリティ規程などがあれば概要}

# RULES
- 社員が読んで判断できる具体的な表現にする（「適切に」ではなく例を示す）
- 禁止事項だけでなく、推奨する使い方も書く
- 入力してはいけない情報は、例を挙げて分類する
- 法令や各ツールの規約に関わる部分は「法務確認」と注記する
- 見直しの時期と担当部署を決める項目を入れる

# OUTPUT
1. ガイドラインの目的と対象範囲
2. 利用してよいツールと利用方法
3. 推奨する使い方／注意が必要な使い方／禁止する使い方（具体例付き）
4. 入力してはいけない情報の一覧
5. 出力を使うときの確認ルール（事実確認、著作権、公開前の承認）
6. 問題が起きたときの報告先と対応
7. 見直しの時期・担当
8. 社員向けの1ページ要約（チェックリスト形式）","会社の業種、扱う情報、利用を認めるツールを入力します。すでにある情報セキュリティ規程の内容を入れると、整合性のとれた草案になります。
草案は、法務・情報システム・経営層の確認を経て正式版にしてください。ツールの規約や法令は変わるため、定期的な見直しが必要です。","【入力】従業員120名の人材紹介会社／扱う情報：求職者の個人情報／利用ツール：法人向けプランのみ許可

【出力イメージ】
入力してはいけない情報：求職者の氏名・連絡先・職務経歴書そのもの（匿名化した内容の要約は可）
推奨する使い方：求人票の文章の推敲、社内研修資料の構成案
社員向けチェックリスト：□ 入力する前に、個人名や社名を消したか","intermediate","documents","claude, chatgpt","claude, chatgpt"
"documents-report-executive-summary","長い報告書のエグゼクティブサマリーを作成するプロンプト","報告書の本文から、忙しい経営層が1分で判断できる要約（結論・根拠・リスク・求める判断）を作ります。","調査報告書、プロジェクトの完了報告、分析レポートなどの長い文書に付ける、エグゼクティブサマリー（経営層向けの要約）を作るプロンプトです。本文の順番どおりに要約するのではなく、結論と求める判断を先に置き、判断に必要な根拠とリスクだけを抜き出します。

読み手が「読んで何を決めればよいか」が分かる要約にすることが目的です。","# ROLE
あなたは経営企画部で役員向け資料をまとめてきた担当者です。

# INPUT
- 報告書の本文：
{報告書を貼り付け。長い場合は章ごとに分けて入力}
- 読み手：{例：社長と取締役、各自1分程度で読む}
- 読み手に求める判断：{例：来期の予算承認、施策の継続可否}

# RULES
- A4半分（全角600字程度）に収める
- 最初に結論と、読み手に求める判断を書く
- 数字は報告書にあるものだけを使い、どの章に書かれていたかを括弧で示す
- 良いことだけでなく、リスクや未確定の事項も必ず書く
- 専門用語は使わないか、短く説明する

# OUTPUT
1. エグゼクティブサマリー
   - 結論（2行）
   - 求める判断
   - 根拠（3点）
   - リスクと対応
   - 次のステップ
2. 報告書の中で、読み手が詳しく読むべき箇所の案内
3. 要約から省いた重要度の低い情報の一覧（抜け漏れ確認用）","報告書の本文と、読み手、読み手に求める判断を入力します。「求める判断」をはっきり書くと、判断に必要な情報だけが残る要約になります。
数字や結論に誤りがないよう、サマリーと本文を突き合わせてから提出してください。長いPDFはGeminiやNotebookLMでの読み込みが便利です。","【入力】報告書：新しい営業支援ツール試験導入の結果報告（20ページ）／読み手：役員／求める判断：全社導入の可否

【出力イメージ】
結論：試験導入した2チームで商談準備の時間が約3割減少し（3章）、全社導入を提案します。
求める判断：来期予算で年間480万円の導入費用を承認いただきたい。
リスク：残り4チームは業務の進め方が異なり、同じ効果が出るかは未検証（5章）","intermediate","documents","claude, gemini","claude, gemini, notebooklm"
"documents-faq-from-inquiry-history","問い合わせ履歴からFAQ（よくある質問）ページを作成するプロンプト","過去の問い合わせを分類し、件数の多い質問から順に、分かりやすい回答付きのFAQを作ります。","カスタマーサポートに届いた問い合わせの履歴から、FAQページ（よくある質問）を作るプロンプトです。似た質問をまとめて分類し、よく聞かれる順に、顧客が使う言葉で質問文を作り、回答を整えます。

FAQを整備することで、顧客が自分で解決できるようになり、問い合わせ対応の負担を減らせます。","次の問い合わせ履歴から、FAQページを作成してください。

【サービス・商品】{名称と概要}
【FAQを読む人】{例：初めて利用する個人のお客様}
【問い合わせ履歴】
{問い合わせ内容と、実際に回答した内容を貼り付け（氏名・連絡先などの個人情報は削除）}
【既存のFAQ（あれば）】{現在のFAQ}

手順：
1. 問い合わせを内容ごとに分類し、件数を数える
2. 件数の多い分類から、FAQの質問文を作る（顧客が実際に使った言葉を使う）
3. 過去の回答をもとに、FAQの回答文を作る

ルール：
- 回答は結論から書き、手順がある場合は番号付きにする
- 過去の回答にない内容は作らない。回答が不明なものは【要回答】とする
- 既存FAQと重複するものは、既存FAQの改善案として出す
- 回答で解決しない場合の問い合わせ先を最後に示す

出力：
1. 分類と件数の表
2. FAQ（カテゴリ別：質問／回答）
3. 既存FAQの改善案
4. FAQではなく、サービス自体の改善で減らせそうな問い合わせ","問い合わせの内容と、そのとき実際に回答した内容をセットで貼り付けます。個人情報は必ず削除してから入力してください。
「サービス自体の改善で減らせそうな問い合わせ」は、画面や説明の改善のヒントとして、関係部署と共有すると効果的です。","【入力】オンライン料理教室の問い合わせ履歴（3か月分、約80件）

【出力イメージ】
| 分類 | 件数 |
| 予約の変更・キャンセル | 23 |
| 材料の準備 | 15 |
Q. レッスンの予約を変更したいです。
A. レッスン開始の24時間前まで、マイページから変更できます。1.「予約一覧」を開く 2. …
サービス改善のヒント：マイページの「変更」ボタンが見つけにくいという声が多い","beginner","documents","chatgpt, claude","chatgpt, claude"
"documents-job-posting-description","応募したくなる求人票（募集要項）を作成するプロンプト","募集ポジションの情報から、仕事内容・求める人物像・働く環境が具体的に伝わる求人票を作ります。","採用サイトや求人媒体に載せる求人票を作るプロンプトです。仕事内容を具体的な1日の流れや任せる業務で伝え、必須条件と歓迎条件を分け、働く環境や入社後のサポートまで、応募を検討する人が知りたい情報を整理します。

募集・採用に関する法令（性別・年齢による制限の禁止など）に配慮した表現にします。","# ROLE
あなたは採用広報と求人原稿の作成に詳しい採用担当者です。

# INPUT
- 会社の概要：{事業内容・規模・雰囲気}
- 募集ポジション：{職種・雇用形態・勤務地・リモート可否}
- 任せる仕事：{具体的な業務、入社後3か月でやること}
- 必須条件と歓迎条件：{箇条書き}
- 給与・待遇：{決まっている範囲}
- チームの様子：{人数、年齢構成は書かず、雰囲気や働き方}
- 求職者に伝えたい魅力：{例：裁量、成長環境、制度}

# RULES
- 性別・年齢などで応募を制限する表現を使わない（法令で認められた例外を除く）
- 「アットホーム」「やりがい」など、中身の伝わらない言葉だけで終わらせない
- 必須条件は本当に必要なものに絞る
- 入力にない待遇や制度を書かない

# OUTPUT
1. 求人タイトル（職種名＋特徴、全角30字以内）
2. 仕事内容（任せる業務と1日の流れの例）
3. 必須条件／歓迎条件
4. 求める人物像
5. 働く環境・チーム・入社後のサポート
6. 待遇・勤務条件
7. 表現上の注意点（法令・誤解を招く表現）","任せる仕事と、入社後3か月でやることを具体的に書くのがポイントです。チームの雰囲気や働き方も入れると、応募者が働く姿をイメージしやすくなります。
給与や待遇などの条件は、掲載前に人事担当と必ず確認してください。","【入力】従業員40名のWeb制作会社／募集：Webディレクター（正社員、週2日リモート可）／任せる仕事：中小企業のサイト制作の進行管理

【出力イメージ】
求人タイトル：中小企業のWebサイトづくりを進行から支えるWebディレクター
1日の流れの例：10:00 デザイナーと進捗確認 → 13:00 お客様とオンライン打ち合わせ → …
必須条件：Web制作の進行管理の経験（1年以上）","beginner","documents","chatgpt, claude","chatgpt, claude"
"documents-multi-document-comparison-table","複数の資料を読み比べて比較表を作るプロンプト","複数の提案書・見積書・規約などを読み込み、同じ観点で並べた比較表と違いの要点を作ります。","複数の業者から届いた提案書・見積書、複数のサービスの利用規約、複数年度の報告書など、同じ種類の資料を読み比べるためのプロンプトです。比較の観点をそろえて表にまとめ、記載のない項目や条件の違いを明らかにします。

資料をまたいだ読み比べが得意な、NotebookLMやGeminiなどの長文を扱えるツールでの利用を想定しています。","# GOAL
次の資料を読み比べ、判断に使える比較表を作成してください。

# INPUT
- 比較する資料：{資料A、資料B、資料C（ファイルを添付、または本文を貼り付け）}
- 資料の種類：{例：Webサイト制作の提案書と見積書}
- 比較の目的：{例：発注先を1社に決める}
- 必ず比較したい観点：{例：費用の総額、納期、保守の範囲、著作権の扱い}

# PROCESS
1. 各資料の構成と、書かれている内容の範囲を確認する
2. 指定の観点に加え、比較に必要な観点を追加する
3. 観点ごとに各資料の記載を抜き出す（該当ページ・箇所を示す）
4. 記載がない項目、条件付きの項目を区別する

# RULES
- 資料に書かれていないことを推測で埋めない。「記載なし」と書く
- 金額は、税込・税抜、初期費用・月額などの条件をそろえて比較する。そろえられない場合はその旨を書く
- 表現が違っても実質的に同じ内容なら、そのことを注記する

# OUTPUT
1. 比較表（観点×資料、各セルに記載の要約と該当箇所）
2. 大きな違いの要点（3〜5つ）
3. 各社（各資料）に確認すべき質問
4. 比較の目的から見た判断のポイント","比較したい資料を添付し、比較の目的と必ず見たい観点を入力します。NotebookLMに資料をまとめて登録してから使うと、資料をまたいだ質問がしやすくなります。
比較表の数字や条件は、最終判断の前に必ず元の資料で確認してください。","【入力】Webサイト制作の提案書と見積書（3社分）／目的：発注先を1社に決める

【出力イメージ】
| 観点 | A社 | B社 | C社 |
| 総額（税込） | 165万円（見積p.2） | 132万円＋月額保守1.1万円（p.3） | 記載なし（別途見積） |
| 著作権 | 納品時に移転（提案書p.12） | 記載なし | 素材を除き移転 |
確認すべき質問：B社「保守の範囲に、CMSの更新作業は含まれますか？」","intermediate","documents","gemini, claude","notebooklm, gemini, claude"
"image-ec-product-photo-generation","EC用の商品イメージ写真を生成するための画像プロンプト作成","商品と売り場の雰囲気から、背景・光・構図を指定した商品イメージ写真の生成プロンプトを作ります。","ECサイトやSNS広告で使う、商品のイメージ写真（利用シーンの写真）を画像生成AIで作るためのプロンプトです。商品の特徴とブランドの雰囲気を入力すると、背景・小物・光の当たり方・カメラのアングルまで指定した生成用プロンプトを、日本語と英語で作ります。

実際の商品の形や色を正確に再現する必要がある画像は、実物の撮影や、元画像を使った編集機能と組み合わせてください。","# ROLE
あなたは商品撮影の経験があるアートディレクターで、画像生成AIのプロンプト作成に詳しい専門家です。

# INPUT
- 商品：{例：白い陶器のマグカップ、容量350ml}
- 使うツール：{例：Adobe Firefly、Midjourney、FLUX、ChatGPTの画像生成}
- 用途と掲載先：{例：ECの商品ページのサブ画像、Instagram広告}
- ブランドの雰囲気：{例：北欧風、ナチュラル、落ち着いた色}
- 見せたい利用シーン：{例：休日の朝、窓際のテーブル}
- 画像の比率：{例：1:1、4:5}

# PROCESS
1. 構図（アングル・商品の位置・余白）を決める
2. 背景と小物を決める（商品より目立たないもの）
3. 光（自然光・時間帯・影の出方）と色調を決める
4. 生成用プロンプトを作る

# RULES
- 商品を主役にし、小物は3つまでにする
- 実在するブランドのロゴや商標、特定の作家の名前は入れない
- テキスト（文字）は画像に入れない（文字は後から編集ツールで入れる）
- ツールごとに書き方が違う部分（比率の指定など）は、そのツールの形式に合わせ、不明な場合はその旨を書く

# OUTPUT
1. 画像のコンセプト（日本語で3行）
2. 生成用プロンプト（英語）
3. 同じ内容の日本語訳（確認用）
4. 避けたい要素（ネガティブ指定が使えるツール向け）
5. バリエーション案（アングル違い・時間帯違いを各1つ）","商品の特徴、使うツール、掲載先、ブランドの雰囲気を入力します。出力された英語のプロンプトを、使う画像生成ツールにそのまま貼り付けて使います。
生成した画像を商用利用する場合は、各ツールの利用規約と、商品の実物との違い（誤認を招かないか）を必ず確認してください。","【入力】白い陶器のマグカップ／Adobe Firefly／ECのサブ画像／北欧風・ナチュラル／休日の朝の窓際／1:1

【出力イメージ】
コンセプト：朝のやわらかい光の中、窓際の木のテーブルに置かれた白いマグ。湯気と、ぼかした背景の観葉植物で休日の空気感を出す
プロンプト（英語）：A white ceramic mug on a light oak table by a window, soft morning sunlight, gentle steam rising, blurred green houseplant in the background, Scandinavian minimal style, natural color palette, product photography, 1:1","intermediate","image","image, chatgpt","adobe-firefly, midjourney, flux"
"image-blog-eyecatch-concept","ブログ記事のアイキャッチ画像のコンセプトと生成プロンプトを作る","記事の内容から、伝えたいことが一目で伝わるアイキャッチ画像のコンセプト案と生成プロンプトを作ります。","ブログやオウンドメディアの記事に使うアイキャッチ画像を、画像生成AIで作るためのプロンプトです。記事のテーマから「一目で内容が伝わる」ビジュアルのコンセプトを3案出し、それぞれの生成用プロンプトと、タイトル文字を後から入れるための余白の取り方まで提案します。

サイト全体で画像の雰囲気をそろえたいときは、スタイルの指定を毎回同じにして使ってください。","次のブログ記事のアイキャッチ画像を作りたいです。

■ 記事のタイトル：{タイトル}
■ 記事の要点：{3行程度}
■ 読者：{誰が読むか}
■ サイトの雰囲気・統一したいスタイル：{例：フラットなイラスト、青と白が基調、人物はシンプルに}
■ 使うツール：{例：ChatGPTの画像生成、Ideogram、Canva}
■ サイズ・比率：{例：1200×630（OGP用）}

ルール：
- 記事の内容を象徴するモチーフを使い、抽象的すぎる画像にしない
- タイトル文字を後から入れる場合を考え、画像の左右どちらかに余白をつくる
- 実在の人物・ブランド・キャラクターに似せない
- 生成画像に文字を入れる場合は、短い英単語にとどめる（日本語は崩れやすいため）

出力：
1. コンセプト案3つ（モチーフ／構図／色／記事との関係）
2. 各案の生成用プロンプト（英語）と日本語訳
3. おすすめの案と、その理由
4. タイトル文字を入れる位置とフォントの雰囲気の提案","記事のタイトルと要点、サイトで統一しているスタイルを入力します。スタイルの指定を毎回同じにすると、サイト全体の画像の雰囲気がそろいます。
日本語のタイトル文字は、生成した画像にCanvaなどで後から入れるのがおすすめです。","【入力】タイトル：在宅勤務で肩こりを防ぐデスク環境の整え方／スタイル：フラットなイラスト、青と白／1200×630

【出力イメージ】
案1：モチーフ＝ノートPCに向かう人物の横顔と、正しい姿勢を示す点線 — 構図：人物を右寄せにして左側にタイトル用の余白
プロンプト：Flat vector illustration of a person working at a laptop with good posture, dotted guide line along the spine, blue and white color scheme, clean minimal style, empty space on the left side, 1200x630","beginner","image","image, chatgpt","ideogram, canva-ai, chatgpt"
"image-text-banner-with-typography","文字入りのキャンペーンバナーを画像生成AIで作るプロンプト","文字の描写が得意な生成AI向けに、見出しの文字・配置・配色を指定したバナーの生成プロンプトを作ります。","セールやイベントの告知バナーなど、文字が主役になる画像を生成AIで作るためのプロンプトです。Ideogramなど文字の描写が得意なツールを想定し、入れる文字、文字の大きさの優先順位、配置、配色、背景を具体的に指定します。

日本語の文字は崩れることがあるため、英語の見出しで作るか、背景だけを生成して文字は後から入れる方法も提案します。","# ROLE
あなたはWeb広告のバナー制作に慣れたグラフィックデザイナーです。

# INPUT
- バナーの目的：{例：秋のセールの告知}
- 入れたい文字（優先度順）：{例：1. AUTUMN SALE 2. UP TO 30% OFF 3. 10/1-10/15}
- ブランドカラー：{例：深緑とクリーム色}
- 雰囲気：{例：落ち着いた、上品、手書き風は避ける}
- 掲載先とサイズ：{例：Instagram投稿 1080×1080、Webのヘッダー 1920×600}
- 使うツール：{例：Ideogram、Canva}

# RULES
- 文字は最大3要素にし、大きさの優先順位をはっきりさせる
- 文字と背景のコントラストを確保し、読みやすさを優先する
- 割引率や期間などの条件は、入力どおりの表記にする
- 日本語を画像に入れる場合は崩れやすいため、次の2つの方法を提示する
  A. 英語の見出しで生成する
  B. 文字なしの背景だけを生成し、文字はデザインツールで入れる

# OUTPUT
1. レイアウト案（文字の配置と大きさの比率）
2. 方法Aの生成用プロンプト（英語、入れる文字は引用符で囲む）
3. 方法Bの背景用プロンプト（英語、文字を入れる余白の指定付き）
4. 生成後に確認すべきこと（文字の誤り、読みやすさ、条件表記）","入れたい文字を優先度の順に書き、ブランドカラーとサイズを入力します。生成された画像の文字は、つづりや数字が崩れていないか必ず確認してください。
日本語のバナーは、方法Bで背景を作り、Canvaなどで文字を載せると確実です。割引などの表示は、景品表示法などのルールに沿っているか確認してください。","【入力】秋のセールの告知／文字：AUTUMN SALE、UP TO 30% OFF、10/1-10/15／深緑とクリーム色／Instagram 1080×1080／Ideogram

【出力イメージ】
レイアウト：中央上部に「AUTUMN SALE」（全体の40%）、その下に「UP TO 30% OFF」（20%）、下部に期間（10%）
方法Aプロンプト：An elegant autumn sale banner, deep green background with cream-colored text ""AUTUMN SALE"", smaller text ""UP TO 30% OFF"", …","intermediate","image","image","ideogram, canva-ai"
"image-consistent-character-multi-pose","同じキャラクターを複数のポーズ・場面で一貫して生成するプロンプト","キャラクターの設定表を作り、髪型・服装・色を固定したまま、ポーズや場面を変えた画像を生成します。","マスコットキャラクターや、漫画・絵本・SNS投稿に登場させる人物を、画像生成AIで何枚も作るときに、見た目を一貫させるためのプロンプトです。まずキャラクターの特徴を細かく定義した設定表を作り、その設定を毎回同じ言葉で使い回すことで、枚数を重ねても別人に見えにくくします。

参照画像を使った一貫性の機能があるツールでは、その機能と組み合わせると効果的です。","# ROLE
あなたはキャラクターデザインと画像生成AIの両方に詳しいクリエイティブディレクターです。

# INPUT
- キャラクターの概要：{例：お菓子店の看板キャラクター、20代の女性パティシエ}
- 外見のイメージ：{髪型・髪色・目・体型・服装・持ち物}
- 性格・雰囲気：{例：明るく親しみやすい}
- 絵柄：{例：やわらかい水彩風、アニメ調、3DCG風}
- 作りたい場面：{例：ケーキを作る、店頭であいさつ、驚く顔、4コマ用の表情差分}
- 使うツール：{例：Midjourney、Leonardo AI}

# PROCESS
1. キャラクター設定表を作る（外見の要素を1つずつ固定の言葉で定義）
2. 設定表をもとに、毎回共通で使う「固定プロンプト」を作る
3. 場面ごとに、固定プロンプト＋ポーズ・表情・背景だけを変えた生成用プロンプトを作る
4. ツールに参照画像の機能がある場合の使い方を示す

# RULES
- 外見の指定は、毎回まったく同じ言葉と順番で書く
- 実在の人物・既存のキャラクター・特定の作家の画風に似せない
- 手や指など崩れやすい部分は、見せ方を工夫する（持ち物で隠す、など）

# OUTPUT
1. キャラクター設定表（項目／固定する言葉）
2. 固定プロンプト（英語）
3. 場面別の生成用プロンプト（英語）
4. 一貫性がくずれたときの直し方
5. 商用利用時の確認事項","キャラクターの外見と絵柄、作りたい場面を入力します。設定表の「固定する言葉」は、以降の生成でも毎回そのまま使ってください。
最初に正面の立ち絵を1枚作り、気に入ったものを参照画像として使うと、ほかの場面でも見た目がそろいやすくなります。キャラクターを商用で使う場合は、ツールの規約と商標登録の要否を確認してください。","【入力】お菓子店の看板キャラクター／ショートボブの茶色い髪、白いコックコート、ピンクのスカーフ／やわらかい水彩風／場面：ケーキ作り、あいさつ

【出力イメージ】
固定プロンプト：a young female pastry chef, short brown bob hair, round brown eyes, white chef coat, pink neckerchief, soft watercolor illustration style
場面1：[固定プロンプト], decorating a strawberry shortcake, smiling, bright bakery kitchen background","advanced","image","image","midjourney, leonardo-ai"
"image-logo-concept-sketches","ロゴのコンセプト案とラフ画像を作るプロンプト","ブランドの特徴から、ロゴの方向性を複数案考え、ラフ画像を生成するためのプロンプトを作ります。","新しい店舗・サービス・イベントのロゴを考えるときに、方向性の違うコンセプト案と、そのラフ（下書き）画像を作るためのプロンプトです。シンボルの形、色、文字の雰囲気を言葉で整理してから画像を生成するので、デザイナーに依頼する前のイメージ共有にも使えます。

生成AIで作ったロゴは、そのまま商標登録できない場合や、既存のロゴに似てしまう場合があります。正式なロゴは専門家と確認しながら仕上げてください。","次のブランドのロゴのコンセプト案とラフ画像のプロンプトを作ってください。

【ブランド名】{名称（読み方も）}
【事業内容】{何をしているか}
【伝えたい印象】{例：信頼感、親しみやすさ、先進的}
【使う場面】{例：看板、名刺、アプリのアイコン、Webサイト}
【好きな色・避けたい色】{例}
【使うツール】{例：Ideogram、Adobe Firefly、ChatGPTの画像生成}

作成の手順：
1. ブランドの特徴から、ロゴの方向性を3つ提案する（シンボル＋文字／文字だけ／シンボルだけ など）
2. 各方向性のコンセプト（形の意味、色、書体の雰囲気）を説明する
3. ラフ画像の生成用プロンプトを作る

ルール：
- 小さなサイズ（アプリのアイコン、ファビコン）でも判別できるシンプルな形にする
- 既存の有名なロゴに似た形・配色を避ける
- 単色でも成り立つデザインにする
- 生成用プロンプトには「flat, vector, simple, white background」などラフに適した指定を入れる

出力：
1. 方向性3案（コンセプト／形の意味／色／書体の雰囲気）
2. 各案の生成用プロンプト（英語）
3. 決定前に確認すること（類似ロゴ、商標、各サイズでの見え方）","ブランド名と事業内容、伝えたい印象を入力します。使う場面を書くと、小さく表示したときの見やすさも考慮されます。
生成したラフはイメージの共有用です。正式なロゴとして使う前に、類似するロゴや商標がないか調べ、必要に応じてデザイナーに清書を依頼してください。","【入力】ブランド名：こもれびベーカリー／住宅街のパン屋／印象：あたたかさ、手づくり感／場面：看板、紙袋、Instagram

【出力イメージ】
案1（シンボル＋文字）：木の葉のすき間から光が差す形を、丸いパンのシルエットと重ねる。色は小麦色と深緑
プロンプト：simple flat vector logo, a round loaf of bread combined with sunlight through tree leaves, wheat brown and deep green, minimal, white background","intermediate","image","image, chatgpt","ideogram, adobe-firefly"
"image-reference-to-generation-prompt","参考画像の雰囲気を言葉にして生成プロンプトに変換するプロンプト","参考にしたい画像を読み取り、構図・色・光・質感を言語化して、似た雰囲気で作るためのプロンプトにします。","「この写真のような雰囲気の画像を作りたい」というときに使うプロンプトです。画像を読み取れるAIに参考画像を渡し、構図、色の組み合わせ、光の方向、質感、雰囲気を言葉に分解してもらい、それをもとに新しい画像を生成するためのプロンプトを作ります。

参考画像をそのまま複製するのではなく、雰囲気を参考にした新しい画像を作ることが目的です。","# GOAL
添付した参考画像の雰囲気を言葉にし、新しい画像を生成するためのプロンプトに変換してください。

# INPUT
- 参考画像：{画像を添付}
- 参考にしたい要素：{例：色の雰囲気と光の感じ。被写体は変える}
- 新しく作りたい画像の内容：{例：カフェのカウンターに置かれたサンドイッチ}
- 使うツール：{例：Midjourney、FLUX、Adobe Firefly}

# PROCESS
1. 参考画像を次の要素に分解して言葉にする：構図／カメラの視点・距離／光（方向・強さ・時間帯）／色（主な色と比率）／質感／雰囲気
2. 「参考にしたい要素」だけを残し、それ以外は新しい内容に置き換える
3. 生成用プロンプトを作る

# RULES
- 参考画像に写っている人物・ロゴ・作品などを再現する指示は入れない
- 特定の写真家・作家の名前は使わない
- 参考画像の著作権に配慮し、「そっくりに」ではなく「雰囲気を参考に」する

# OUTPUT
1. 参考画像の分析（要素ごとの表）
2. 生成用プロンプト（英語）と日本語訳
3. 雰囲気を強めたい／弱めたいときに調整する言葉","参考画像を添付し、どの要素を参考にしたいか（色、光、構図など）と、新しく作りたい内容を入力します。画像を読み取れるChatGPTやGeminiで使ってください。
参考画像は、自分で撮影したものや利用が許可されたものを使い、他人の作品をそのまま再現しないよう注意してください。","【入力】参考画像：夕方の喫茶店の窓際の写真（自分で撮影）／参考にしたい要素：色と光／作りたい内容：カフェのカウンターのサンドイッチ

【出力イメージ】
分析：光＝左側の窓から差し込む夕方の低い光、影が長い／色＝オレンジと茶色が中心、差し色に深い緑
プロンプト：A sandwich on a wooden cafe counter, warm low evening sunlight from the left window, long soft shadows, amber and brown tones with a touch of deep green, cozy retro atmosphere","intermediate","image","chatgpt, gemini","midjourney, flux, adobe-firefly"
"image-brand-moodboard","ブランドのムードボード用画像をまとめて生成するプロンプト","ブランドの世界観を、色・素材・場面・人物の雰囲気に分解し、ムードボード用の画像セットを作ります。","新しいブランドや商品、店舗の立ち上げ時に、世界観をチームで共有するためのムードボード（雰囲気見本）を作るプロンプトです。ブランドの価値観を「色」「素材・質感」「場面」「人物の雰囲気」「光」の要素に分解し、それぞれを表す画像を統一感のあるプロンプトで生成します。

言葉だけでは伝わりにくい世界観を、デザイナーや外部パートナーと共有するのに役立ちます。","あなたはブランディングを手がけるアートディレクターです。
次のブランドのムードボードを作るための画像プロンプトを作成してください。

■ ブランド・商品：{名称と概要}
■ ブランドの価値観・キーワード：{例：静けさ、上質、自然素材、長く使える}
■ ターゲット：{誰の、どんな暮らしに合うか}
■ 避けたい雰囲気：{例：派手、チープ、未来的すぎる}
■ 使うツール：{例：Midjourney}

手順：
1. 価値観を、色／素材・質感／場面／人物の雰囲気／光の5要素に分解する
2. 5要素を反映した、ムードボード用の画像9枚分のテーマを決める（例：素材のクローズアップ、生活の場面、風景）
3. 9枚すべてに共通する「スタイル指定」を決め、各画像のプロンプトを作る

ルール：
- 9枚の色調と光の方向をそろえ、並べたときに統一感が出るようにする
- 人物を入れる場合は、顔がはっきり写らない構図にする（特定の人物に見えないように）
- 実在のブランドやロゴ、特定の作家名は使わない

出力：
1. 5要素の定義（キーワードと色コードの例）
2. 共通のスタイル指定（英語）
3. 9枚分のテーマと生成用プロンプト（英語）
4. ムードボードの並べ方（3×3の配置案）","ブランドの価値観を表すキーワードと、避けたい雰囲気を入力します。共通のスタイル指定を毎回付けることで、9枚に統一感が出ます。
完成したムードボードは、デザイナーへの依頼やチーム内の方向性の確認に使ってください。","【入力】自然素材のインテリア雑貨ブランド／キーワード：静けさ、上質、長く使える／避けたい：派手、チープ

【出力イメージ】
共通のスタイル指定：soft diffused morning light, muted earth tones (beige, stone gray, olive), matte textures, calm and quiet mood, editorial photography
画像3（素材）：Close-up of hand-woven linen fabric and a raw oak surface, [共通のスタイル指定]","intermediate","image","image","midjourney, flux"
